time,biomass
1980-08-16 00:00:00,229011598063968.12
1980-09-15 12:00:00,376061327473976.9
1980-10-16 00:00:00,509779512449119.0
1980-11-15 12:00:00,635375001379331.1
1980-12-16 00:00:00,554455894289057.4
1981-01-16 00:00:00,622513461479070.2
1981-02-14 12:00:00,684761637426930.2
1981-03-16 00:00:00,791211392763105.2
1981-04-15 12:00:00,609417630406146.1
1981-05-16 00:00:00,390624434794501.4
1981-06-15 12:00:00,70661387943497.2
1981-07-16 00:00:00,68685635390051.664
1981-08-16 00:00:00,314858544096068.25
1981-09-15 12:00:00,490240568421466.4
1981-10-16 00:00:00,595403333914583.5
1981-11-15 12:00:00,791905805237534.6
1981-12-16 00:00:00,1121007197583701.6
1982-01-16 00:00:00,1497742017905241.5
1982-02-14 12:00:00,1395466998470405.8
1982-03-16 00:00:00,1014787192718420.4
1982-04-15 12:00:00,796207154081887.2
1982-05-16 00:00:00,259323341687341.12
1982-06-15 12:00:00,125792301836982.08
1982-07-16 00:00:00,131695775344939.64
1982-08-16 00:00:00,352608033350478.2
1982-09-15 12:00:00,512304663283024.75
1982-10-16 00:00:00,608984918065805.0
1982-11-15 12:00:00,419197819985640.8
1982-12-16 00:00:00,227681467286506.56
1983-01-16 00:00:00,343090913480369.6
1983-02-14 12:00:00,531206700009058.5
1983-03-16 00:00:00,205474442150461.94
1983-04-15 12:00:00,152206476821713.88
1983-05-16 00:00:00,27325680218953.297
1983-06-15 12:00:00,3644526139694.947
1983-07-16 00:00:00,23725940909654.82
1983-08-16 00:00:00,95195506942126.66
1983-09-15 12:00:00,201485206962822.53
1983-10-16 00:00:00,185291157623208.62
1983-11-15 12:00:00,332891641490311.94
1983-12-16 00:00:00,494561247123965.0
1984-01-16 00:00:00,615277500587561.1
1984-02-14 12:00:00,888621292473507.2
1984-03-16 00:00:00,1066391798388735.5
1984-04-15 12:00:00,845156166217027.9
1984-05-16 00:00:00,670486109648988.2
1984-06-15 12:00:00,653585451083296.2
1984-07-16 00:00:00,852438129947988.6
1984-08-16 00:00:00,954962487901682.5
1984-09-15 12:00:00,1037092187104708.2
1984-10-16 00:00:00,1068199610731074.1
1984-11-15 12:00:00,928622789920379.2
1984-12-16 00:00:00,782841592892263.4
1985-01-16 00:00:00,790171762689694.9
1985-02-14 12:00:00,582937245924098.0
1985-03-16 00:00:00,570439880937064.8
1985-04-15 12:00:00,465974935163780.0
1985-05-16 00:00:00,383852506973938.5
1985-06-15 12:00:00,334625918442766.44
1985-07-16 00:00:00,420194197115126.5
1985-08-16 00:00:00,669101760481229.8
1985-09-15 12:00:00,858467888331657.0
1985-10-16 00:00:00,1057806901335444.8
1985-11-15 12:00:00,1390461650354729.2
1985-12-16 00:00:00,1255583250641002.5
1986-01-16 00:00:00,925967356133592.0
1986-02-14 12:00:00,1169297757031402.8
1986-03-16 00:00:00,881003607217836.5
1986-04-15 12:00:00,479805315313008.56
1986-05-16 00:00:00,142640897122296.4
1986-06-15 12:00:00,53040937997723.26
1986-07-16 00:00:00,45137460046476.72
1986-08-16 00:00:00,107660186468015.38
1986-09-15 12:00:00,307796336145671.5
1986-10-16 00:00:00,467004957439332.06
1986-11-15 12:00:00,622493145120311.8
1986-12-16 00:00:00,835750901079987.5
1987-01-16 00:00:00,832445310771694.1
1987-02-14 12:00:00,689027923824851.0
1987-03-16 00:00:00,464015891480398.5
1987-04-15 12:00:00,346916265481744.0
1987-05-16 00:00:00,213481693304977.03
1987-06-15 12:00:00,4401252883413.285
1987-07-16 00:00:00,6261354440117.557
1987-08-16 00:00:00,33177454574127.297
1987-09-15 12:00:00,92872619528128.16
1987-10-16 00:00:00,163884049483344.94
1987-11-15 12:00:00,413132949039659.2
1987-12-16 00:00:00,847357387027533.8
1988-01-16 00:00:00,1188231405332823.2
1988-02-14 12:00:00,1066933628451189.9
1988-03-16 00:00:00,705577166375850.0
1988-04-15 12:00:00,366640424062285.9
1988-05-16 00:00:00,131752041615751.53
1988-06-15 12:00:00,244141878618068.8
1988-07-16 00:00:00,421793283587690.3
1988-08-16 00:00:00,671512739136917.8
1988-09-15 12:00:00,818126505641862.6
1988-10-16 00:00:00,822019435392058.2
1988-11-15 12:00:00,937455009399174.5
1988-12-16 00:00:00,1627207369055644.5
1989-01-16 00:00:00,1338029046645455.5
1989-02-14 12:00:00,990310608712272.1
1989-03-16 00:00:00,711351470661490.0
1989-04-15 12:00:00,370553492872153.1
1989-05-16 00:00:00,126425564386765.53
1989-06-15 12:00:00,127603081781322.11
1989-07-16 00:00:00,344913325818395.5
1989-08-16 00:00:00,602498522686893.4
1989-09-15 12:00:00,924795708747607.9
1989-10-16 00:00:00,1354510310178346.5
1989-11-15 12:00:00,2097986919065456.2
1989-12-16 00:00:00,2456085974232913.5
1990-01-16 00:00:00,1545686822217298.2
1990-02-14 12:00:00,1011774731666017.8
1990-03-16 00:00:00,498181491558982.1
1990-04-15 12:00:00,165002350434464.1
1990-05-16 00:00:00,49744975008055.94
1990-06-15 12:00:00,72896677194894.02
1990-07-16 00:00:00,145551987905757.72
1990-08-16 00:00:00,273499004027502.66
1990-09-15 12:00:00,420360494148181.1
1990-10-16 00:00:00,690839003930032.4
1990-11-15 12:00:00,1074169568371695.0
1990-12-16 00:00:00,1379191340143768.8
1991-01-16 00:00:00,1166826004196968.0
1991-02-14 12:00:00,1243907897080406.0
1991-03-16 00:00:00,1110598910328841.2
1991-04-15 12:00:00,710957194893618.2
1991-05-16 00:00:00,157555755641613.25
1991-06-15 12:00:00,37832946100146.36
1991-07-16 00:00:00,102869193982559.06
1991-08-16 00:00:00,197078708701894.66
1991-09-15 12:00:00,267040795545275.4
1991-10-16 00:00:00,466504158201166.75
1991-11-15 12:00:00,798281839943308.5
1991-12-16 00:00:00,950375278761960.9
1992-01-16 00:00:00,1238293019195373.2
1992-02-14 12:00:00,969399400861148.2
