"","animal","Common_Name","Family_Common","selector_caption"
"275","Sterna_hirundo","Common Tern","Laridae (Gulls, Terns & Skimmers)","Sterna hirundo (common tern)"
"276","Sterna_lorata","Peruvian Tern","Laridae (Gulls, Terns & Skimmers)","Sterna lorata (Peruvian tern)"
"277","Sterna_lunata","Spectacled Tern","Laridae (Gulls, Terns & Skimmers)","Sterna lunata (spectacled tern)"
"278","Sterna_maxima","Royal Tern","Laridae (Gulls, Terns & Skimmers)","Sterna maxima (royal tern)"
"279","Sterna_nereis","Fairy Tern","Laridae (Gulls, Terns & Skimmers)","Sterna nereis (fairy tern)"
"280","Sterna_nilotica","Gull-billed Tern","Laridae (Gulls, Terns & Skimmers)","Sterna nilotica (gull-billed tern)"
"281","Sterna_paradisaea","Arctic Tern","Laridae (Gulls, Terns & Skimmers)","Sterna paradisaea (Arctic tern)"
"282","Sterna_repressa","White-cheeked Tern","Laridae (Gulls, Terns & Skimmers)","Sterna repressa (white-cheeked tern)"
"283","Sterna_sandvicensis","Sandwich Tern","Laridae (Gulls, Terns & Skimmers)","Sterna sandvicensis (sandwich tern)"
"284","Sterna_saundersi","Saunder's Tern","Laridae (Gulls, Terns & Skimmers)","Sterna saundersi (saunder's tern)"
"285","Sterna_striata","White-fronted Tern","Laridae (Gulls, Terns & Skimmers)","Sterna striata (white-fronted tern)"
"286","Sterna_sumatrana","Black-naped Tern","Laridae (Gulls, Terns & Skimmers)","Sterna sumatrana (black-naped tern)"
"287","Sterna_trudeaui","Snowy-crowned Tern","Laridae (Gulls, Terns & Skimmers)","Sterna trudeaui (snowy-crowned tern)"
"288","Sterna_virgata","Kerguelen Tern","Laridae (Gulls, Terns & Skimmers)","Sterna virgata (Kerguelen tern)"
"289","Sterna_vittata","Antarctic Tern","Laridae (Gulls, Terns & Skimmers)","Sterna vittata (Antarctic tern)"
"290","Sula_dactylatra","Masked Booby","Sulidae (Gannets & Boobies)","Sula dactylatra (masked booby)"
"291","Sula_granti","Nazca Booby","Sulidae (Gannets & Boobies)","Sula granti (Nazca booby)"
"292","Sula_leucogaster","Brown Booby","Sulidae (Gannets & Boobies)","Sula leucogaster (brown booby)"
"293","Sula_nebouxii","Blue-footed Booby","Sulidae (Gannets & Boobies)","Sula nebouxii (blue-footed booby)"
"294","Sula_sula","Red-footed Booby","Sulidae (Gannets & Boobies)","Sula sula (red-footed booby)"
"295","Sula_variegata","Peruvian Booby","Sulidae (Gannets & Boobies)","Sula variegata (Peruvian booby)"
"296","Synthliboramphus_antiquus","Ancient Murrelet","Alcidae (Auks/ Alcids)","Synthliboramphus antiquus (ancient murrelet)"
"297","Synthliboramphus_craveri","Craveri's Murrelet","Alcidae (Auks/ Alcids)","Synthliboramphus craveri (Craveri's murrelet)"
"298","Synthliboramphus_hypoleucus","Guadalupe Murrelet","Alcidae (Auks/ Alcids)","Synthliboramphus hypoleucus (Guadalupe murrelet)"
"299","Synthliboramphus_wumizusume","Crested Murrelet","Alcidae (Auks/ Alcids)","Synthliboramphus wumizusume (crested murrelet)"
"300","Thalassarche_bulleri","Buller's Mollymawk","Diomedeidae (Albatrosses)","Thalassarche bulleri (Buller's mollymawk)"
"301","Thalassarche_carteri","Indian Yellow-nosed Albatross","Diomedeidae (Albatrosses)","Thalassarche carteri (Indian yellow-nosed albatross)"
"302","Thalassarche_cauta","Shy Albatross","Diomedeidae (Albatrosses)","Thalassarche cauta (shy albatross)"
"303","Thalassarche_chlororhynchos","Atlantic Yellow-nosed Albatross","Diomedeidae (Albatrosses)","Thalassarche chlororhynchos (Atlantic yellow-nosed albatross)"
