IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
87930,Pitcairn,Pitcairn Islands,1,1,,PN,4.040,High income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Southeast Polynesia,Rapa-Pitcairn
95410,Swains,Samoa (Tokelau group),1,1,,AS,3.888,Upper middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Central Polynesia,Phoenix/Tokelau/Northern Cook Islands
128150,Akamaru,Gambier Islands,1,1,,PF,1.984,High income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Southeast Polynesia,Tuamotus
9970,Socorro,Revillagigedo Archipelago,3,3,,MX,130.005,Upper middle income,Yes,11 - 100,Present,Tropical,Neotropic,Tropical and Subtropical Dry Broadleaf Forests,Tropical Eastern Pacific,Tropical East Pacific,Revillagigedos
30780,Baltra,Galapagos Islands,1,1,,EC,25.134,Upper middle income,Yes,11 - 100,Present,Tropical,Neotropic,Deserts and Xeric Shrublands,Tropical Eastern Pacific,Galapagos,Eastern Galapagos Islands
46210,Gorgona,Colombia,1,1,,CO,13.503,Upper middle income,Yes,11 - 100,Present,Tropical,Neotropic,Mangroves,Tropical Eastern Pacific,Tropical East Pacific,Panama Bight
12730,Grande Terre,Aldabra Atoll,2,2,,SC,114.062,High income,Yes,11 - 100,Present,Tropical,Afrotropic,Deserts and Xeric Shrublands,Western Indo-Pacific,Western Indian Ocean,Seychelles
13940,Interview,Andaman Islands,2,2,,IN,99.796,Lower middle income,Yes,11 - 100,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Western Indo-Pacific,Andaman,Andaman and Nicobar Islands
63750,Narcondam,Andaman Islands,1,1,,IN,8.226,Lower middle income,Yes,11 - 100,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Western Indo-Pacific,Andaman,Andaman and Nicobar Islands
452710,Nosy Ankazoberavina,Madagascar Islands,1,1,,MG,0.152,Low income,Yes,11 - 100,Present,Tropical,Afrotropic,Tropical and Subtropical Dry Broadleaf Forests,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar
100000076,Nosy Tsarabanjina,Madagascar Islands,1,1,,MG,0.240,Low income,Yes,11 - 100,Present,Tropical,Afrotropic,Tropical and Subtropical Dry Broadleaf Forests,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar
173460,Eueiki,Tonga,1,1,,TO,1.102,Upper middle income,Yes,11 - 100,Unknown,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Tonga Islands
855080,Taringa,Caroline Islands (Kapingamarangi Atoll),1,1,,FM,0.023,Lower middle income,Yes,11 - 100,Unknown,Tropical,None,None,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
