Island_GID_Code,Corrected_Island_Name,Region_Archipelago,ISO_Code_Correct,Corrected_Latitude,Corrected_Longitude,Corrected_Area_KM2,IC_Region,Human_Habitation,Human_Habitation_Category,Human_Habitation_Number,Human_Habitation_Type,Human_Habitation_Notes,Common_Name,Scientific_Name,Invasive_Status
100000005,Cowrie,Beachport,AU,-37.495423,140.011027,0.097935,7,No,None,0,None,no census information found; estimate based on GEPRO,Unknown,Unknown,Unknown
1072910,Crescent,Gippsland Lakes,AU,-37.962083,147.765,0.0696,2,No,None,0,None,no census information found; estimate based on GEPRO; part of Gippsland Lakes Coastal Park,Unknown,Unknown,Unknown
1597810,Dick,Abrolhos Islands (Wallabi Group),AU,-28.493347,113.767055,0.0262,7,No,None,0,None,no census information found; estimate based on GEPRO,Unknown,Unknown,Unknown
20470,Dorre,Western Australia (Shark Bay),AU,-25.13125,113.095,53.9957,7,No,None,0,None,Access prohibited on Dorre Island,Unknown,Unknown,Unknown
98250,East Wallabi,Abrolhos Islands (Wallabi Group),AU,-28.433764,113.730403,3.9555,7,No,None,0,None,airstrip seen on GEPRO,Unknown,Unknown,Unknown
849750,Egret,Western Australia (Dampier Archipelago),AU,-20.648777,116.43043,0.1032,7,No,None,0,None,no census information found; Egret is a Class C nature reserve; estimate based on GEPRO no permanent structures,Unknown,Unknown,Unknown
1684730,English,Spencer Gulf,AU,-34.639611,136.200402,0.0171,7,No,None,0,None,No census information found; estimate based on GEPRO,Unknown,Unknown,Unknown
549180,Escape,Pellew Islands,AU,-30.331263,114.983146,0.2164,7,No,None,0,None,no census information found; estimate based on GEPRO,Unknown,Unknown,Unknown
51630,Eyre,Nuyts Archipelago,AU,-32.373764,133.822083,11.7171,7,No,None,0,None,No census information found; estimate based on Wikimapia account and GEPRO;island is part of Nuyts Archipelago Conservation Park;tourists may visit island,Unknown,Unknown,Unknown
938500,Fairbridge,Abrolhos Islands (Pelsaert Group),AU,-28.864597,114.005847,0.0875,7,No,None,0,None,no census information found; estimate based on GE PRO,Unknown,Unknown,Unknown
100000039,Fairy Tern,Montebello Islands,AU,-20.407196,115.516627,0.006967,7,No,None,0,None,no census information found; estimate based on GEPRO; small island with no permanent structure; part of a conservation park; Montebello Islands generally undisturbed with relatively low human usage,Unknown,Unknown,Unknown
209390,Flanagan,Gippsland Lakes,AU,-37.89043,147.91125,1.0951,2,No,None,0,None,no census information found; estimate based on GEPRO,Unknown,Unknown,Unknown
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Black Rat,Rattus rattus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Brown / Norway Rat,Rattus norvegicus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Common Pheasant,Phasianus colchicus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Common Starling,Sturnus vulgaris,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Domestic Cat,Felis catus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Domestic Cow,Bos taurus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Domestic Dog,Canis familiaris,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Domestic Sheep,Ovis aries,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,European Goldfinch,Carduelis carduelis,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,European Greenfinch,Carduelis chloris,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,House Mouse,Mus musculus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,House Sparrow,Passer domesticus,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Mallard,Anas platyrhynchos,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Rock Dove,Columba livia,Confirmed
2450,Flinders ,Furneaux Group,AU,-39.997917,148.041694,1345.4041,2,Yes,101 - 1000,897,Multiple,2005 census; estimate based on GEPRO; airstrip present; updated from A.Glen Pers.comm,Wild Boar/Pig,Sus scrofa,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Black Rat,Rattus rattus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Cane Toad,Bufo marinus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Cape Hare,"Lepus capensis
Lepus capensis",Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Common House Gecko,"Hemidactylus frenatus
Hemidactylus frenatus",Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Common Myna,Acridotheres tristis,Confirmed
