"","Atoll_Island","Atoll","Island","Rattus_rattus","Centroid_Long","Centroid_Lat","Size_Ha","Savanna_ha","Wetland_ha","NativeForest_ha","NonNativeForest_ha","MixedShrub_ha","Savanna_p","Wetland_p","NativeForest_p","NonNativeForest_p","MixedShrub_p","Ardenna_pacifica","Puffinus_bailloni","Phaethon_lepturus","Phaethon_rubricauda","Sula_dactylatra","Sula_sula","Sula_leucogaster","Fregeta_minor","Fregeta_ariel","Thalasseus_bergii","Sterna_dougallii","Sterna_sumatrana","Sternula_albifrons","Onychoprion_anaethetus","Onychoprion_fuscatus","Anous_stolidus","Anous_tenuirostris","Gygis_alba","Seabirds_Abundance_Total","Seabirds_Density_Total"
"34","Peros_Banhos_Grand_Bois_Mangue","Peros_Banhos","Grand_Bois_Mangue","A",-5.16162,71.53842,14.5,1.62,0,1.32,4.04,4.91,13.62489487,0,11.10176619,33.97813288,41.29520606,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,50,2000,10,2187,150.827586206897
"35","Peros_Banhos_Petite_Bois_Mangue","Peros_Banhos","Petite_Bois_Mangue","A",-5.161182,71.534606,8.5,0,0,3.18,2.75,2.13,0,0,39.45409429,34.1191067,26.42679901,0,0,0,0,0,120,0,0,0,0,0,0,0,0,2000,82,14000,13,16215,1907.64705882353
"36","Peros_Banhos_Manoel","Peros_Banhos","Manoel","U",-5.153366,71.552204,50,0.74,0,16.21,11.3,1.46,2.490743857,0,54.56075395,38.03433187,4.914170313,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,10,15,43,0.86
"37","Peros_Banhos_Unnamed_Marlin","Peros_Banhos","Unnamed_Marlin","A",-5.145995,71.565816,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12
"38","Peros_Banhos_Yeye","Peros_Banhos","Yeye","P",-5.143624,71.574384,58.5,16.19,0,0,43.38,0,27.17810979,0,0,72.82189021,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,32,55,45,147,2.51282051282051
"39","Peros_Banhos_Petite_Coquillage","Peros_Banhos","Petite_Coquillage","A",-5.202467,71.582341,17,5.98,0,0.16,4.87,7.29,32.67759563,0,0.87431694,26.61202186,39.83606557,0,0,0,0,0,125,0,0,0,0,0,0,0,0,20000,140,1850,20,22135,1302.05882352941
"40","Peros_Banhos_Grand_Coquillage","Peros_Banhos","Grand_Coquillage","A",-5.222328,71.581192,21,0.57,0,0.45,9.97,7.45,3.091106291,0,2.440347072,54.06724512,40.40130152,0,10,0,0,0,750,0,80,5,23,0,0,0,2,38000,125,1500,30,40525,1929.7619047619
"41","Peros_Banhos_Coin_de_Mire","Peros_Banhos","Coin_de_Mire","A",-5.254019,71.525208,0.5,0.33,0,0,0,0,100,0,0,0,0,2,0,0,0,24,0,0,0,0,0,4,1,0,21,0,0,0,0,52,104
"42","Peros_Banhos_Vache_Marine","Peros_Banhos","Vache_Marine","E",-5.252835,71.494655,8,0.18,0,1.51,2.41,7.24,1.587301587,0,13.31569665,21.25220459,63.84479718,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,0,7,37,4.625
"43","Peros_Banhos_Fouquet","Peros_Banhos","Fouquet","P",-5.274754,71.48411,2,0,0,0.09,1.77,0.2,0,0,4.368932039,85.9223301,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,4
"44","Peros_Banhos_Mapou_de_Coin","Peros_Banhos","Mapou_de_Coin","P",-5.274606,71.473433,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,5
"45","Salomon_Islands_Boddam","Salomon_Islands","Boddam","P",-5.213149,72.121988,108.5,0.37,0.26,2.21,109.74,0.15,0.328217866,0.230639581,1.960436441,97.34764482,0.133061297,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,10,30,66,0.608294930875576
"46","Salomon_Islands_Diable","Salomon_Islands","Diable","P",-5.204608,72.12139,0.5,0,0,0,0.07,0.03,0,0,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"47","Salomon_Islands_Anglaise","Salomon_Islands","Anglaise","P",-5.193172,72.132091,75.5,0.68,1.96,2.08,65.91,0.8,0.95198096,2.743945121,2.911941761,92.27215456,1.1199776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,15,46,0.609271523178808
"48","Salomon_Islands_Passe","Salomon_Islands","Passe","A",-5.18842,72.151092,26,0.17,0.03,6.26,21.01,0,0.618856935,0.109210047,22.78849654,76.48343648,0,0,0,2,0,0,27,4,0,0,0,0,0,0,0,0,40,400,25,498,19.1538461538462
"49","Salomon_Islands_Mapou","Salomon_Islands","Mapou","A",-5.184149,72.155371,4,0,0.06,1,2.68,0.24,0,1.507537688,25.12562814,67.33668342,6.030150754,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,60,1600,13,1774,443.5
"50","Salomon_Islands_Takamaka","Salomon_Islands","Takamaka","P",-5.195105,72.161528,44,0,0,17.28,30.14,0.59,0,0,35.99250156,62.77858779,1.228910644,0,0,5,0,0,302,0,0,0,0,0,25,0,0,0,65,100,25,522,11.8636363636364
"51","Salomon_Islands_Fouquet","Salomon_Islands","Fouquet","P",-5.203199,72.155612,39.5,0,0,11.51,33.72,0.18,0,0,25.3468399,74.25677164,0.396388461,0,0,1,0,0,17,0,0,0,0,3,53,0,0,0,25,0,10,109,2.75949367088608
"52","Salomon_Islands_Sepulture","Salomon_Islands","Sepulture","P",-5.205702,72.151294,0.5,0,0,0,0.77,0.1,0,0,0,88.50574713,11.49425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,14
"53","Salomon_Islands_Jacobin","Salomon_Islands","Jacobin","E",-5.21144,72.144357,1.5,0,0,0.14,1.7,0,0,0,7.608695652,92.39130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,7,4.66666666666667
"54","Salomon_Islands_Sel","Salomon_Islands","Sel","E",-5.211751,72.133673,2,0,0,0.64,1.33,0.15,0,0,30.18867925,62.73584906,7.075471698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,2
"55","Salomon_Islands_Poule","Salomon_Islands","Poule","P",-5.213185,72.13161,0.5,0,0,0.05,0.12,0.29,0,0,10.86956522,26.08695652,63.04347826,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,1,27,54
