"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"195","Peros_Banhos_Yeye","Phaethon_rubricauda",0,0,0,0,0,0,0,58.5,130,0.675,18.872336185811,0,0,0
"200","Peros_Banhos_Fouquet","Phaethon_rubricauda",0,0,0,0,0,0,0,2,130,0.675,18.872336185811,0,0,0
"201","Peros_Banhos_Mapou_de_Coin","Phaethon_rubricauda",0,0,0,0,0,0,0,2,130,0.675,18.872336185811,0,0,0
"202","Salomon_Islands_Boddam","Phaethon_rubricauda",0,0,0,0,0,0,0,108.5,130,0.675,18.872336185811,0,0,0
"203","Salomon_Islands_Diable","Phaethon_rubricauda",0,0,0,0,0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"204","Salomon_Islands_Anglaise","Phaethon_rubricauda",0,0,0,0,0,0,0,75.5,130,0.675,18.872336185811,0,0,0
"207","Salomon_Islands_Takamaka","Phaethon_rubricauda",0,0,0,0,0,0,0,44,130,0.675,18.872336185811,0,0,0
"208","Salomon_Islands_Fouquet","Phaethon_rubricauda",0,0,0,0,0,0,0,39.5,130,0.675,18.872336185811,0,0,0
"209","Salomon_Islands_Sepulture","Phaethon_rubricauda",0,0,0,0,0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"212","Salomon_Islands_Poule","Phaethon_rubricauda",0,0,0,0,0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"219","Great_Chagos_Bank_Eagle_Island","Sula_dactylatra",0,0,0,0,0,0,0,243.5,273,2.1,38.5800195275746,0,0,0
"225","Peros_Banhos_Coin","Sula_dactylatra",0,0,0,0,0,0,0,127.5,273,2.1,38.5800195275746,0,0,0
"227","Peros_Banhos_Monpatre_complex","Sula_dactylatra",0,0,0,0,0,0,0,4.5,273,2.1,38.5800195275746,0,0,0
"228","Peros_Banhos_Poule","Sula_dactylatra",0,0,0,0,0,0,0,108,273,2.1,38.5800195275746,0,0,0
"229","Peros_Banhos_Petit_Souer","Sula_dactylatra",0,0,0,0,0,0,0,41.5,273,2.1,38.5800195275746,0,0,0
"230","Peros_Banhos_Grand_Souer","Sula_dactylatra",0,0,0,0,0,0,0,64,273,2.1,38.5800195275746,0,0,0
"235","Peros_Banhos_Pierre","Sula_dactylatra",0,0,0,0,0,0,0,150,273,2.1,38.5800195275746,0,0,0
"236","Peros_Banhos_Petite_Mapou","Sula_dactylatra",0,0,0,0,0,0,0,10,273,2.1,38.5800195275746,0,0,0
"237","Peros_Banhos_Grande_Mapou","Sula_dactylatra",0,0,0,0,0,0,0,19.5,273,2.1,38.5800195275746,0,0,0
"238","Peros_Banhos_Diamant","Sula_dactylatra",0,0,0,0,0,0,0,88.5,273,2.1,38.5800195275746,0,0,0
"239","Peros_Banhos_Passe","Sula_dactylatra",0,0,0,0,0,0,0,22.5,273,2.1,38.5800195275746,0,0,0
"240","Peros_Banhos_Moresby","Sula_dactylatra",0,0,0,0,0,0,0,43.5,273,2.1,38.5800195275746,0,0,0
"248","Peros_Banhos_Yeye","Sula_dactylatra",0,0,0,0,0,0,0,58.5,273,2.1,38.5800195275746,0,0,0
