"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"82","Peros_Banhos_Saint_Brandon","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"83","Peros_Banhos_Parasol","Puffinus_bailloni",0,0,0,0,0,0,0,7.5,118.5,0.19,8.49139524097329,0,0,0
"84","Peros_Banhos_Longue","Puffinus_bailloni",0,0,0,0,0,0,0,25.5,118.5,0.19,8.49139524097329,0,0,0
"85","Peros_Banhos_Grand_Bois_Mangue","Puffinus_bailloni",0,0,0,0,0,0,0,14.5,118.5,0.19,8.49139524097329,0,0,0
"86","Peros_Banhos_Petite_Bois_Mangue","Puffinus_bailloni",0,0,0,0,0,0,0,8.5,118.5,0.19,8.49139524097329,0,0,0
"87","Peros_Banhos_Manoel","Puffinus_bailloni",0,0,0,0,0,0,0,50,118.5,0.19,8.49139524097329,0,0,0
"88","Peros_Banhos_Unnamed_Marlin","Puffinus_bailloni",0,0,0,0,0,0,0,0.25,118.5,0.19,8.49139524097329,0,0,0
"89","Peros_Banhos_Yeye","Puffinus_bailloni",0,0,0,0,0,0,0,58.5,118.5,0.19,8.49139524097329,0,0,0
"90","Peros_Banhos_Petite_Coquillage","Puffinus_bailloni",0,0,0,0,0,0,0,17,118.5,0.19,8.49139524097329,0,0,0
"91","Peros_Banhos_Grand_Coquillage","Puffinus_bailloni",10,10,10,10,10,10,10,21,118.5,0.19,8.49139524097329,0.0867274718219122,0.0867274718219122,0.0867274718219122
"92","Peros_Banhos_Coin_de_Mire","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"93","Peros_Banhos_Vache_Marine","Puffinus_bailloni",0,0,0,0,0,0,0,8,118.5,0.19,8.49139524097329,0,0,0
"94","Peros_Banhos_Fouquet","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"95","Peros_Banhos_Mapou_de_Coin","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"96","Salomon_Islands_Boddam","Puffinus_bailloni",0,0,0,0,0,0,0,108.5,118.5,0.19,8.49139524097329,0,0,0
"97","Salomon_Islands_Diable","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"98","Salomon_Islands_Anglaise","Puffinus_bailloni",0,0,0,0,0,0,0,75.5,118.5,0.19,8.49139524097329,0,0,0
"99","Salomon_Islands_Passe","Puffinus_bailloni",0,0,0,0,0,0,0,26,118.5,0.19,8.49139524097329,0,0,0
"100","Salomon_Islands_Mapou","Puffinus_bailloni",0,0,0,0,0,0,0,4,118.5,0.19,8.49139524097329,0,0,0
"101","Salomon_Islands_Takamaka","Puffinus_bailloni",0,0,0,0,0,0,0,44,118.5,0.19,8.49139524097329,0,0,0
"102","Salomon_Islands_Fouquet","Puffinus_bailloni",0,0,0,0,0,0,0,39.5,118.5,0.19,8.49139524097329,0,0,0
"103","Salomon_Islands_Sepulture","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"104","Salomon_Islands_Jacobin","Puffinus_bailloni",0,0,0,0,0,0,0,1.5,118.5,0.19,8.49139524097329,0,0,0
"105","Salomon_Islands_Sel","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"106","Salomon_Islands_Poule","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"107","Diego_Garcia_Diego_Garcia","Phaethon_lepturus",6,6,6,6,6,6,6,2719.5,119.5,0.32,11.7925784424493,0.000562752510581263,0.000562752510581263,0.000562752510581263
"108","Diego_Garcia_West_Island","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"109","Diego_Garcia_Middle_Island","Phaethon_lepturus",0,0,0,0,0,0,0,5,119.5,0.32,11.7925784424493,0,0,0
"110","Diego_Garcia_East_Island","Phaethon_lepturus",0,0,0,0,0,0,0,7.5,119.5,0.32,11.7925784424493,0,0,0
"111","Great_Chagos_Bank_Danger","Phaethon_lepturus",0,0,0,0,0,0,0,66,119.5,0.32,11.7925784424493,0,0,0
"112","Great_Chagos_Bank_Sea_Cow","Phaethon_lepturus",0,0,0,0,0,0,0,18,119.5,0.32,11.7925784424493,0,0,0
"113","Great_Chagos_Bank_Eagle_Island","Phaethon_lepturus",1,1,1,1,1,1,1,243.5,119.5,0.32,11.7925784424493,0.00104750544320722,0.00104750544320722,0.00104750544320722
"114","Great_Chagos_Bank_North_Brother","Phaethon_lepturus",0,0,0,0,0,0,0,6,119.5,0.32,11.7925784424493,0,0,0
"115","Great_Chagos_Bank_Middle_Brother","Phaethon_lepturus",0,0,0,0,0,0,0,8,119.5,0.32,11.7925784424493,0,0,0
"116","Great_Chagos_Bank_Resurgent","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"117","Great_Chagos_Bank_South_Brother","Phaethon_lepturus",0,0,0,0,0,0,0,23,119.5,0.32,11.7925784424493,0,0,0
"118","Great_Chagos_Bank_Nelson's_Island","Phaethon_lepturus",0,0,0,0,0,0,0,81,119.5,0.32,11.7925784424493,0,0,0
"119","Peros_Banhos_Coin","Phaethon_lepturus",0,0,0,0,0,0,0,127.5,119.5,0.32,11.7925784424493,0,0,0
"120","Peros_Banhos_Anglaise","Phaethon_lepturus",0,0,0,0,0,0,0,12,119.5,0.32,11.7925784424493,0,0,0
"121","Peros_Banhos_Monpatre_complex","Phaethon_lepturus",0,0,0,0,0,0,0,4.5,119.5,0.32,11.7925784424493,0,0,0
"122","Peros_Banhos_Poule","Phaethon_lepturus",1,1,1,1,1,1,1,108,119.5,0.32,11.7925784424493,0.00236173680945331,0.00236173680945331,0.00236173680945331
"123","Peros_Banhos_Petit_Souer","Phaethon_lepturus",0,0,0,0,0,0,0,41.5,119.5,0.32,11.7925784424493,0,0,0
"124","Peros_Banhos_Grand_Souer","Phaethon_lepturus",0,0,0,0,0,0,0,64,119.5,0.32,11.7925784424493,0,0,0
"125","Peros_Banhos_Finon","Phaethon_lepturus",0,0,0,0,0,0,0,1,119.5,0.32,11.7925784424493,0,0,0
"126","Peros_Banhos_Verte","Phaethon_lepturus",0,0,0,0,0,0,0,3,119.5,0.32,11.7925784424493,0,0,0
"127","Peros_Banhos_Unnamed_Burtle","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"128","Peros_Banhos_Manon","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"129","Peros_Banhos_Pierre","Phaethon_lepturus",0,0,0,0,0,0,0,150,119.5,0.32,11.7925784424493,0,0,0
"130","Peros_Banhos_Petite_Mapou","Phaethon_lepturus",0,0,0,0,0,0,0,10,119.5,0.32,11.7925784424493,0,0,0
"131","Peros_Banhos_Grande_Mapou","Phaethon_lepturus",0,0,0,0,0,0,0,19.5,119.5,0.32,11.7925784424493,0,0,0
"132","Peros_Banhos_Diamant","Phaethon_lepturus",0,0,0,0,0,0,0,88.5,119.5,0.32,11.7925784424493,0,0,0
"133","Peros_Banhos_Passe","Phaethon_lepturus",0,0,0,0,0,0,0,22.5,119.5,0.32,11.7925784424493,0,0,0
"134","Peros_Banhos_Moresby","Phaethon_lepturus",1,1,1,1,1,1,1,43.5,119.5,0.32,11.7925784424493,0.00586362242347029,0.00586362242347029,0.00586362242347029
"135","Peros_Banhos_Saint_Brandon","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"136","Peros_Banhos_Parasol","Phaethon_lepturus",0,0,0,0,0,0,0,7.5,119.5,0.32,11.7925784424493,0,0,0
"137","Peros_Banhos_Longue","Phaethon_lepturus",0,0,0,0,0,0,0,25.5,119.5,0.32,11.7925784424493,0,0,0
"138","Peros_Banhos_Grand_Bois_Mangue","Phaethon_lepturus",0,0,0,0,0,0,0,14.5,119.5,0.32,11.7925784424493,0,0,0
"139","Peros_Banhos_Petite_Bois_Mangue","Phaethon_lepturus",0,0,0,0,0,0,0,8.5,119.5,0.32,11.7925784424493,0,0,0
"140","Peros_Banhos_Manoel","Phaethon_lepturus",0,0,0,0,0,0,0,50,119.5,0.32,11.7925784424493,0,0,0
"141","Peros_Banhos_Unnamed_Marlin","Phaethon_lepturus",0,0,0,0,0,0,0,0.25,119.5,0.32,11.7925784424493,0,0,0
"142","Peros_Banhos_Yeye","Phaethon_lepturus",0,0,0,0,0,0,0,58.5,119.5,0.32,11.7925784424493,0,0,0
"143","Peros_Banhos_Petite_Coquillage","Phaethon_lepturus",0,0,0,0,0,0,0,17,119.5,0.32,11.7925784424493,0,0,0
"144","Peros_Banhos_Grand_Coquillage","Phaethon_lepturus",0,0,0,0,0,0,0,21,119.5,0.32,11.7925784424493,0,0,0
"145","Peros_Banhos_Coin_de_Mire","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
