"","Atoll_Island","Species","Census","Value.high.nn","Value.low.nn","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"125","Peros_Banhos_Coin","Phaethon_lepturus",0,0,0,127.5,119.5,0.32,11.7925784424493,0,0,0
"126","Peros_Banhos_Anglaise","Phaethon_lepturus",0,0,0,NA,119.5,0.32,11.7925784424493,NA,NA,NA
"127","Peros_Banhos_Monpatre_complex","Phaethon_lepturus",0,0,0,4.5,119.5,0.32,11.7925784424493,0,0,0
"128","Peros_Banhos_Poule","Phaethon_lepturus",1,1,1,108,119.5,0.32,11.7925784424493,0.00236173680945331,0.00236173680945331,0.00236173680945331
"129","Peros_Banhos_Petit_Souer","Phaethon_lepturus",0,0,0,41.5,119.5,0.32,11.7925784424493,0,0,0
"130","Peros_Banhos_Grand_Souer","Phaethon_lepturus",0,0,0,64,119.5,0.32,11.7925784424493,0,0,0
"131","Peros_Banhos_Finon","Phaethon_lepturus",0,0,0,1,119.5,0.32,11.7925784424493,0,0,0
"132","Peros_Banhos_Verte","Phaethon_lepturus",0,0,0,3,119.5,0.32,11.7925784424493,0,0,0
"133","Peros_Banhos_Unnamed_Burtle","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"134","Peros_Banhos_Manon","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"135","Peros_Banhos_Pierre","Phaethon_lepturus",0,0,0,150,119.5,0.32,11.7925784424493,0,0,0
"136","Peros_Banhos_Petite_Mapou","Phaethon_lepturus",0,0,0,10,119.5,0.32,11.7925784424493,0,0,0
"137","Peros_Banhos_Grande_Mapou","Phaethon_lepturus",0,0,0,19.5,119.5,0.32,11.7925784424493,0,0,0
"138","Peros_Banhos_Diamant","Phaethon_lepturus",0,0,0,88.5,119.5,0.32,11.7925784424493,0,0,0
"139","Peros_Banhos_Passe","Phaethon_lepturus",0,0,0,22.5,119.5,0.32,11.7925784424493,0,0,0
"140","Peros_Banhos_Moresby","Phaethon_lepturus",1,1,1,43.5,119.5,0.32,11.7925784424493,0.00586362242347029,0.00586362242347029,0.00586362242347029
"141","Peros_Banhos_Saint_Brandon","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"142","Peros_Banhos_Parasol","Phaethon_lepturus",0,0,0,7.5,119.5,0.32,11.7925784424493,0,0,0
"143","Peros_Banhos_Longue","Phaethon_lepturus",0,0,0,25.5,119.5,0.32,11.7925784424493,0,0,0
"144","Peros_Banhos_Grand_Bois_Mangue","Phaethon_lepturus",0,0,0,14.5,119.5,0.32,11.7925784424493,0,0,0
"145","Peros_Banhos_Petite_Bois_Mangue","Phaethon_lepturus",0,0,0,8.5,119.5,0.32,11.7925784424493,0,0,0
"146","Peros_Banhos_Manoel","Phaethon_lepturus",0,0,0,50,119.5,0.32,11.7925784424493,0,0,0
"147","Peros_Banhos_Unnamed_Marlin","Phaethon_lepturus",0,0,0,0.25,119.5,0.32,11.7925784424493,0,0,0
"148","Peros_Banhos_Yeye","Phaethon_lepturus",0,0,0,58.5,119.5,0.32,11.7925784424493,0,0,0
"149","Peros_Banhos_Petite_Coquillage","Phaethon_lepturus",0,0,0,17,119.5,0.32,11.7925784424493,0,0,0
"150","Peros_Banhos_Grand_Coquillage","Phaethon_lepturus",0,0,0,21,119.5,0.32,11.7925784424493,0,0,0
"151","Peros_Banhos_Coin_de_Mire","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
